n,m,is_metal,diameter,chiral_angle,peakposition,peakhight
1,0,0,0.793914,0.000000,2.900000,4.824305
1,1,1,1.375099,30.000000,2.898000,2.897785
2,0,0,1.587827,0.000000,2.898000,168.644397
2,1,0,2.100498,19.106605,1.760000,3.010152
2,1,0,2.100498,19.106605,2.900000,2.988496
2,2,1,2.750197,30.000000,2.900000,3.470064
3,0,1,2.381741,0.000000,2.900000,1.776169
3,1,0,2.862496,13.897886,1.500000,3.114634
3,1,0,2.862496,13.897886,2.316000,2.259699
3,1,0,2.862496,13.897886,2.898000,1.846533
3,2,0,3.460589,23.413224,1.148000,1.666729
3,2,0,3.460589,23.413224,2.224000,2.862884
3,2,0,3.460589,23.413224,2.900000,1.561573
3,3,1,4.125296,30.000000,2.512000,3.411623
3,3,1,4.125296,30.000000,2.898000,1.283494
4,0,0,3.175654,0.000000,1.200000,1.650118
4,0,0,3.175654,0.000000,2.898000,84.431061
4,1,1,3.638169,10.893395,2.546000,2.158012
4,1,1,3.638169,10.893395,2.900000,2.438078
4,2,0,4.200996,19.106605,1.006000,1.507242
4,2,0,4.200996,19.106605,1.760000,1.628514
4,2,0,4.200996,19.106605,2.900000,2.520732
4,3,0,4.829188,25.284996,0.842000,1.105834
4,3,0,4.829188,25.284996,1.664000,1.706790
4,3,0,4.829188,25.284996,2.648000,1.554196
4,3,0,4.829188,25.284996,2.900000,1.435512
4,4,1,5.500395,30.000000,2.050000,2.988754
4,4,1,5.500395,30.000000,2.900000,1.923587
5,0,0,3.969568,0.000000,1.108000,1.723457
5,0,0,3.969568,0.000000,1.792000,1.796796
5,0,0,3.969568,0.000000,2.900000,1.207795
5,1,0,4.420324,8.948276,0.892000,0.985842
5,1,0,4.420324,8.948276,1.982000,2.817573
5,1,0,4.420324,8.948276,2.662000,1.891417
5,1,0,4.420324,8.948276,2.898000,1.549768
5,2,1,4.957989,16.102114,2.106000,1.262434
5,2,1,4.957989,16.102114,2.422000,1.959709
5,2,1,4.957989,16.102114,2.900000,1.196377
5,3,0,5.557395,21.786789,0.756000,0.954384
5,3,0,5.557395,21.786789,1.396000,1.260507
5,3,0,5.557395,21.786789,2.610000,1.681222
5,3,0,5.557395,21.786789,2.722000,1.895672
5,3,0,5.557395,21.786789,2.898000,1.126271
5,4,0,6.200664,26.329503,0.662000,0.760007
5,4,0,6.200664,26.329503,1.316000,1.123871
5,4,0,6.200664,26.329503,2.284000,1.210436
5,4,0,6.200664,26.329503,2.704000,1.694610
5,4,0,6.200664,26.329503,2.900000,1.156149
5,5,1,6.875494,30.000000,1.704000,2.237513
5,5,1,6.875494,30.000000,2.758000,2.948066
5,5,1,6.875494,30.000000,2.898000,1.018856
6,0,1,4.763482,0.000000,2.122000,1.436214
