,n,m,is_metal,diameter,chiral_angle,peakposition,peakhight,energy_separation
0,1,0,0,0.793914,0.0,2.9,4.824305,5.8
1,1,1,1,1.375099,30.0,2.898,2.897785,5.796
2,2,0,0,1.587827,0.0,2.898,168.644397,5.796
3,2,1,0,2.100498,19.106605,1.76,3.010152,3.52
4,2,1,0,2.100498,19.106605,2.9,2.988496,5.8
5,2,2,1,2.750197,30.0,2.9,3.470064,5.8
6,3,0,1,2.381741,0.0,2.9,1.776169,5.8
7,3,1,0,2.862496,13.897886,1.5,3.114634,3.0
8,3,1,0,2.862496,13.897886,2.316,2.259699,4.632
9,3,1,0,2.862496,13.897886,2.898,1.846533,5.796
10,3,2,0,3.460589,23.413224,1.148,1.666729,2.296
11,3,2,0,3.460589,23.413224,2.224,2.862884,4.448
12,3,2,0,3.460589,23.413224,2.9,1.561573,5.8
13,3,3,1,4.125296,30.0,2.512,3.411623,5.024
14,3,3,1,4.125296,30.0,2.898,1.283494,5.796
15,4,0,0,3.175654,0.0,1.2,1.650118,2.4
16,4,0,0,3.175654,0.0,2.898,84.431061,5.796
17,4,1,1,3.638169,10.893395,2.546,2.158012,5.092
18,4,1,1,3.638169,10.893395,2.9,2.438078,5.8
19,4,2,0,4.200996,19.106605,1.006,1.507242,2.012
20,4,2,0,4.200996,19.106605,1.76,1.628514,3.52
21,4,2,0,4.200996,19.106605,2.9,2.520732,5.8
22,4,3,0,4.829188,25.284996,0.842,1.105834,1.684
23,4,3,0,4.829188,25.284996,1.664,1.70679,3.328
24,4,3,0,4.829188,25.284996,2.648,1.554196,5.296
25,4,3,0,4.829188,25.284996,2.9,1.435512,5.8
26,4,4,1,5.500395,30.0,2.05,2.988754,4.1
27,4,4,1,5.500395,30.0,2.9,1.923587,5.8
28,5,0,0,3.969568,0.0,1.108,1.723457,2.216
29,5,0,0,3.969568,0.0,1.792,1.796796,3.584
30,5,0,0,3.969568,0.0,2.9,1.207795,5.8
31,5,1,0,4.420324,8.948276,0.892,0.985842,1.784
32,5,1,0,4.420324,8.948276,1.982,2.817573,3.964
33,5,1,0,4.420324,8.948276,2.662,1.891417,5.324
34,5,1,0,4.420324,8.948276,2.898,1.549768,5.796
35,5,2,1,4.957989,16.102114,2.106,1.262434,4.212
36,5,2,1,4.957989,16.102114,2.422,1.959709,4.844
37,5,2,1,4.957989,16.102114,2.9,1.196377,5.8
38,5,3,0,5.557395,21.786789,0.756,0.954384,1.512
39,5,3,0,5.557395,21.786789,1.396,1.260507,2.792
40,5,3,0,5.557395,21.786789,2.61,1.681222,5.22
41,5,3,0,5.557395,21.786789,2.722,1.895672,5.444
42,5,3,0,5.557395,21.786789,2.898,1.126271,5.796
43,5,4,0,6.200664,26.329503,0.662,0.760007,1.324
44,5,4,0,6.200664,26.329503,1.316,1.123871,2.632
45,5,4,0,6.200664,26.329503,2.284,1.210436,4.568
46,5,4,0,6.200664,26.329503,2.704,1.69461,5.408
47,5,4,0,6.200664,26.329503,2.9,1.156149,5.8
48,5,5,1,6.875494,30.0,1.704,2.237513,3.408
49,5,5,1,6.875494,30.0,2.758,2.948066,5.516
50,5,5,1,6.875494,30.0,2.898,1.018856,5.796
51,6,0,1,4.763482,0.0,2.122,1.436214,4.244
52,6,0,1,4.763482,0.0,2.898,56.382867,5.796
53,6,1,0,5.20604,7.589089,0.832,0.950643,1.664
54,6,1,0,5.20604,7.589089,1.436,1.275679,2.872
55,6,1,0,5.20604,7.589089,2.73,1.579744,5.46
56,6,1,0,5.20604,7.589089,2.9,2.152926,5.8
57,6,2,0,5.724992,13.897886,0.702,0.845401,1.404
58,6,2,0,5.724992,13.897886,1.5,1.625648,3.0
59,6,2,0,5.724992,13.897886,2.316,1.196592,4.632
60,6,2,0,5.724992,13.897886,2.9,2.089665,5.8
61,6,3,1,6.301494,19.106605,1.76,1.066908,3.52
62,6,3,1,6.301494,19.106605,1.948,1.661719,3.896
63,6,3,1,6.301494,19.106605,2.768,1.547666,5.536
64,6,3,1,6.301494,19.106605,2.9,1.359982,5.8
65,6,4,0,6.921178,23.413224,0.606,0.725579,1.212
66,6,4,0,6.921178,23.413224,1.148,0.897773,2.296
67,6,4,0,6.921178,23.413224,2.224,1.503737,4.448
68,6,4,0,6.921178,23.413224,2.432,1.365719,4.864
69,6,4,0,6.921178,23.413224,2.9,1.645698,5.8
70,6,5,0,7.573453,26.995508,0.546,0.454071,1.092
71,6,5,0,7.573453,26.995508,1.086,0.879312,2.172
72,6,5,0,7.573453,26.995508,1.972,0.929764,3.944
73,6,5,0,7.573453,26.995508,2.396,1.298547,4.792
74,6,5,0,7.573453,26.995508,2.792,1.479935,5.584
75,6,5,0,7.573453,26.995508,2.9,1.131574,5.8
76,6,6,1,8.250592,30.0,1.45,1.83372,2.9
77,6,6,1,8.250592,30.0,2.512,1.822693,5.024
78,6,6,1,8.250592,30.0,2.9,1.441174,5.8
79,7,0,0,5.557395,0.0,0.716,0.851252,1.432
80,7,0,0,5.557395,0.0,1.61,1.656667,3.22
81,7,0,0,5.557395,0.0,2.326,1.224493,4.652
82,7,0,0,5.557395,0.0,2.9,0.980576,5.8
83,7,1,1,5.993916,6.586776,1.788,1.101924,3.576
84,7,1,1,5.993916,6.586776,2.218,2.656154,4.436
85,7,1,1,5.993916,6.586776,2.772,1.621013,5.544
86,7,1,1,5.993916,6.586776,2.898,1.400932,5.796
87,7,2,0,6.498463,12.216349,0.658,0.849775,1.316
88,7,2,0,6.498463,12.216349,1.188,0.968771,2.376
89,7,2,0,6.498463,12.216349,2.452,1.268363,4.904
90,7,2,0,6.498463,12.216349,2.53,2.066339,5.06
